timestamp,cpu_percent,mem_used_mb,mem_total_mb,temp_c,disk_percent,gpu_temp,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2026-03-24T00:00:01,81.2,3845,7818,62.0,6,0,0,0,0
2026-03-24T00:05:01,47.7,3870,7818,59.0,6,0,0,0,0
2026-03-24T00:10:01,19.7,3834,7818,45.0,6,0,0,0,0
2026-03-24T00:15:01,18.8,3846,7818,49.0,6,0,0,0,0
2026-03-24T00:20:01,19,3835,7818,55.0,6,0,0,0,0
2026-03-24T00:25:01,21.5,3843,7818,50.0,6,0,0,0,0
2026-03-24T00:30:01,22.7,3844,7818,46.0,6,0,0,0,0
2026-03-24T00:35:01,19.7,3847,7818,44.0,6,0,0,0,0
2026-03-24T00:40:01,24.2,3842,7818,53.0,6,0,0,0,0
2026-03-24T00:45:01,21.5,3842,7818,47.0,6,0,0,0,0
2026-03-24T00:50:01,19.7,3850,7818,44.0,6,0,0,0,0
2026-03-24T00:55:01,17.2,3848,7818,45.0,6,0,0,0,0
2026-03-24T01:00:01,30.3,3867,7818,47.0,6,0,0,0,0
2026-03-24T01:05:01,47.7,3877,7818,57.0,6,0,0,0,0
2026-03-24T01:10:01,21.5,3858,7818,50.0,6,0,0,0,0
2026-03-24T01:15:01,19.7,3861,7818,48.0,6,0,0,0,0
2026-03-24T01:20:01,19.7,3849,7818,45.0,6,0,0,0,0
2026-03-24T01:25:01,21.2,3855,7818,44.0,6,0,0,0,0
2026-03-24T01:30:01,21.9,3862,7818,47.0,6,0,0,0,0
2026-03-24T01:35:01,19.7,3859,7818,44.0,6,0,0,0,0
2026-03-24T01:40:01,22.4,3854,7818,49.0,6,0,0,0,0
2026-03-24T01:45:01,18.2,3860,7818,43.0,6,0,0,0,0
2026-03-24T01:50:01,21.9,3857,7818,53.0,6,0,0,0,0
2026-03-24T01:55:01,20.9,3857,7818,44.0,6,0,0,0,0
2026-03-24T02:00:01,29.4,3866,7818,45.0,6,0,0,0,0
2026-03-24T02:05:01,48.4,3898,7818,57.0,6,0,0,0,0
2026-03-24T02:10:01,18.8,3855,7818,45.0,6,0,0,0,0
2026-03-24T02:15:01,18.5,3863,7818,43.0,6,0,0,0,0
2026-03-24T02:20:01,19.7,3873,7818,48.0,6,0,0,0,0
2026-03-24T02:25:01,20.3,3866,7818,45.0,6,0,0,0,0
2026-03-24T02:30:01,21.9,3867,7818,47.0,6,0,0,0,0
2026-03-24T02:35:01,20.3,3874,7818,48.0,6,0,0,0,0
2026-03-24T02:40:01,21.9,3873,7818,52.0,6,0,0,0,0
2026-03-24T02:45:01,21.5,3873,7818,51.0,6,0,0,0,0
2026-03-24T02:50:01,21.2,3885,7818,43.0,6,0,0,0,0
