timestamp,cpu_percent,mem_used_mb,mem_total_mb,temp_c,disk_percent,gpu_temp,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2026-03-14T00:00:01,98.5,3888,7818,59.0,4,0,0,0,0
2026-03-14T00:05:02,50,3890,7818,57.0,4,0,0,0,0
2026-03-14T00:10:01,20.3,3868,7818,47.0,4,0,0,0,0
2026-03-14T00:15:01,20,3876,7818,41.0,4,0,0,0,0
2026-03-14T00:20:01,18.8,3872,7818,40.0,4,0,0,0,0
2026-03-14T00:25:01,20,3871,7818,39.0,4,0,0,0,0
2026-03-14T00:30:01,19.4,3890,7818,40.0,4,0,0,0,0
2026-03-14T00:35:01,20,3875,7818,42.0,4,0,0,0,0
2026-03-14T00:40:01,18.8,3871,7818,40.0,4,0,0,0,0
2026-03-14T00:45:01,20.9,3874,7818,38.0,4,0,0,0,0
2026-03-14T00:50:01,20,3877,7818,40.0,4,0,0,0,0
2026-03-14T00:55:01,20,3875,7818,41.0,4,0,0,0,0
2026-03-14T01:00:01,27.7,3883,7818,45.0,4,0,0,0,0
2026-03-14T01:05:01,51.5,3901,7818,56.0,4,0,0,0,0
2026-03-14T01:10:01,18.8,3876,7818,41.0,4,0,0,0,0
2026-03-14T01:15:01,18.5,3877,7818,41.0,4,0,0,0,0
2026-03-14T01:20:01,20,3878,7818,39.0,4,0,0,0,0
2026-03-14T01:25:01,19.4,3895,7818,38.0,4,0,0,0,0
2026-03-14T01:30:01,20.9,3884,7818,42.0,4,0,0,0,0
2026-03-14T01:35:01,24.2,3886,7818,50.0,4,0,0,0,0
2026-03-14T01:40:01,42.4,3882,7818,50.0,4,0,0,0,0
2026-03-14T01:45:01,19.7,3881,7818,42.0,4,0,0,0,0
2026-03-14T01:50:01,21.5,3886,7818,40.0,4,0,0,0,0
2026-03-14T01:55:01,21.2,3885,7818,39.0,4,0,0,0,0
2026-03-14T02:00:01,29.2,3890,7818,40.0,4,0,0,0,0
2026-03-14T02:05:01,80.9,3893,7818,59.0,4,0,0,0,0
2026-03-14T02:10:01,18.8,3883,7818,42.0,4,0,0,0,0
2026-03-14T02:15:01,19,3879,7818,39.0,4,0,0,0,0
2026-03-14T02:20:01,18.5,3882,7818,39.0,4,0,0,0,0
2026-03-14T02:25:01,18.2,3888,7818,39.0,4,0,0,0,0
2026-03-14T02:30:01,22.4,3888,7818,40.0,4,0,0,0,0
2026-03-14T02:35:01,17.2,3887,7818,37.0,4,0,0,0,0
2026-03-14T02:40:01,18.5,3885,7818,39.0,4,0,0,0,0
2026-03-14T02:45:01,19.4,3885,7818,40.0,4,0,0,0,0
2026-03-14T02:50:01,21.2,3886,7818,42.0,4,0,0,0,0
2026-03-14T02:55:01,19.7,3893,7818,39.0,4,0,0,0,0
2026-03-14T03:00:01,24.2,3893,7818,44.0,4,0,0,0,0
2026-03-14T03:05:01,51.5,3922,7818,56.0,4,0,0,0,0
