timestamp,cpu_percent,mem_used_mb,mem_total_mb,temp_c,disk_percent,gpu_temp,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2026-03-13T00:00:01,100,960,7919,74.0,7,0,0,0,0
2026-03-13T00:05:01,17.9,943,7919,66.0,7,0,0,0,0
2026-03-13T00:10:01,25,940,7919,65.0,7,0,0,0,0
2026-03-13T00:15:01,47.1,957,7919,71.0,7,0,0,0,0
2026-03-13T00:20:01,13.6,928,7919,65.0,7,0,0,0,0
2026-03-13T00:25:01,14.7,937,7919,64.0,7,0,0,0,0
2026-03-13T00:30:01,63.8,968,7919,72.0,7,0,0,0,0
2026-03-13T00:35:01,13.6,934,7919,66.0,7,0,0,0,0
2026-03-13T00:40:01,13.4,937,7919,65.0,7,0,0,0,0
2026-03-13T00:45:01,41.2,950,7919,70.0,7,0,0,0,0
2026-03-13T00:50:01,14.9,944,7919,65.0,7,0,0,0,0
2026-03-13T00:55:01,14.9,947,7919,65.0,7,0,0,0,0
2026-03-13T01:00:01,63.6,975,7919,71.0,7,0,0,0,0
2026-03-13T01:05:01,14.1,947,7919,64.0,7,0,0,0,0
2026-03-13T01:10:01,11.9,954,7919,64.0,7,0,0,0,0
2026-03-13T01:15:01,39.1,964,7919,70.0,7,0,0,0,0
2026-03-13T01:20:01,11.8,947,7919,64.0,7,0,0,0,0
2026-03-13T01:25:01,13.2,939,7919,65.0,7,0,0,0,0
2026-03-13T01:30:01,69.1,970,7919,72.0,7,0,0,0,0
2026-03-13T01:35:01,40.3,1027,7919,73.0,7,0,0,0,0
2026-03-13T01:40:01,14.9,963,7919,64.0,7,0,0,0,0
2026-03-13T01:45:01,38.8,983,7919,69.0,7,0,0,0,0
2026-03-13T01:50:01,12.1,965,7919,66.0,7,0,0,0,0
2026-03-13T01:55:01,13,959,7919,65.0,7,0,0,0,0
2026-03-13T02:00:01,26.9,986,7919,65.0,7,0,0,0,0
2026-03-13T02:05:01,16.4,964,7919,64.0,7,0,0,0,0
2026-03-13T02:10:01,11.9,967,7919,63.0,7,0,0,0,0
2026-03-13T02:15:01,38.5,985,7919,70.0,7,0,0,0,0
2026-03-13T02:20:01,13,974,7919,64.0,7,0,0,0,0
2026-03-13T02:25:01,13.4,966,7919,64.0,7,0,0,0,0
2026-03-13T02:30:01,68.1,1001,7919,71.0,7,0,0,0,0
2026-03-13T02:35:01,13.2,986,7919,64.0,7,0,0,0,0
2026-03-13T02:40:01,13.4,973,7919,64.0,7,0,0,0,0
2026-03-13T02:45:01,40.3,995,7919,70.0,7,0,0,0,0
2026-03-13T02:50:01,13.4,981,7919,63.0,7,0,0,0,0
2026-03-13T02:55:01,13.8,1002,7919,63.0,7,0,0,0,0
2026-03-13T03:00:01,69.8,1024,7919,71.0,7,0,0,0,0
2026-03-13T03:05:01,14.7,1006,7919,63.0,7,0,0,0,0
2026-03-13T03:10:01,15.5,992,7919,64.0,7,0,0,0,0
2026-03-13T03:15:01,38.8,1014,7919,71.0,7,0,0,0,0
2026-03-13T03:20:01,18.8,996,7919,64.0,7,0,0,0,0
2026-03-13T03:25:01,14.5,1004,7919,63.0,7,0,0,0,0
2026-03-13T03:30:01,71.6,1034,7919,72.0,7,0,0,0,0
2026-03-13T03:35:01,12.7,1015,7919,63.0,7,0,0,0,0
