timestamp,cpu_percent,mem_used_mb,mem_total_mb,temp_c,disk_percent,gpu_temp,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2026-03-16T00:00:01,91.5,1225,7919,78.0,7,0,0,0,0
2026-03-16T00:05:01,13.8,1205,7919,71.0,7,0,0,0,0
2026-03-16T00:10:01,17.6,1201,7919,72.0,7,0,0,0,0
2026-03-16T00:15:01,38.5,1216,7919,76.0,7,0,0,0,0
2026-03-16T00:20:01,13.6,1204,7919,70.0,7,0,0,0,0
2026-03-16T00:25:01,18.8,1214,7919,71.0,7,0,0,0,0
2026-03-16T00:30:01,69.1,1232,7919,77.0,7,0,0,0,0
2026-03-16T00:35:01,13.6,1216,7919,70.0,7,0,0,0,0
2026-03-16T00:40:01,14.5,1216,7919,70.0,7,0,0,0,0
2026-03-16T00:45:01,39.1,1221,7919,77.0,7,0,0,0,0
2026-03-16T00:50:01,14.3,1194,7919,70.0,7,0,0,0,0
2026-03-16T00:55:01,15.9,1204,7919,70.0,7,0,0,0,0
2026-03-16T01:00:01,82.4,1227,7919,77.0,7,0,0,0,0
2026-03-16T01:05:01,13.4,1199,7919,70.0,7,0,0,0,0
2026-03-16T01:10:01,14.9,1207,7919,70.0,7,0,0,0,0
2026-03-16T01:15:01,40.3,1218,7919,77.0,7,0,0,0,0
2026-03-16T01:20:01,13.6,1216,7919,70.0,7,0,0,0,0
2026-03-16T01:25:01,14.5,1208,7919,71.0,7,0,0,0,0
2026-03-16T01:30:01,86.8,1231,7919,78.0,7,0,0,0,0
2026-03-16T01:35:01,11.8,1215,7919,69.0,7,0,0,0,0
2026-03-16T01:40:01,13.4,1205,7919,70.0,7,0,0,0,0
2026-03-16T01:45:01,38.2,1215,7919,77.0,7,0,0,0,0
2026-03-16T01:50:01,13.6,1203,7919,70.0,7,0,0,0,0
2026-03-16T01:55:01,13,1201,7919,69.0,7,0,0,0,0
2026-03-16T02:00:01,64.1,1224,7919,78.0,7,0,0,0,0
2026-03-16T02:05:01,12.1,1204,7919,71.0,7,0,0,0,0
2026-03-16T02:10:01,15.7,1207,7919,70.0,7,0,0,0,0
2026-03-16T02:15:01,40.6,1218,7919,77.0,7,0,0,0,0
2026-03-16T02:20:01,15.9,1206,7919,70.0,7,0,0,0,0
2026-03-16T02:25:01,11.9,1195,7919,70.0,7,0,0,0,0
2026-03-16T02:30:01,68.7,1238,7919,78.0,7,0,0,0,0
2026-03-16T02:35:01,15.9,1202,7919,70.0,7,0,0,0,0
2026-03-16T02:40:01,13.6,1200,7919,71.0,7,0,0,0,0
2026-03-16T02:45:01,41.8,1208,7919,77.0,7,0,0,0,0
2026-03-16T02:50:01,17.4,1207,7919,70.0,7,0,0,0,0
2026-03-16T02:55:01,13.4,1210,7919,70.0,7,0,0,0,0
2026-03-16T03:00:01,81.2,1239,7919,77.0,7,0,0,0,0
2026-03-16T03:05:01,11.9,1199,7919,69.0,7,0,0,0,0
2026-03-16T03:10:01,18.2,1197,7919,74.0,7,0,0,0,0
2026-03-16T03:15:01,40.9,1214,7919,77.0,7,0,0,0,0
2026-03-16T03:20:01,13.6,1207,7919,71.0,7,0,0,0,0
2026-03-16T03:25:01,16.2,1208,7919,70.0,7,0,0,0,0
2026-03-16T03:30:01,82.6,1232,7919,78.0,7,0,0,0,0
2026-03-16T03:35:01,31.9,1643,7919,77.0,7,0,0,0,0
2026-03-16T03:40:01,28.4,1475,7919,74.0,7,0,0,0,0
2026-03-16T03:45:01,47.7,1656,7919,83.0,7,0,0,0,0
2026-03-16T03:50:01,92.6,1536,7919,90.0,7,0,0,0,0
2026-03-16T03:55:01,14.7,1255,7919,69.0,7,0,0,0,0
2026-03-16T04:00:01,29,1279,7919,71.0,7,0,0,0,0
2026-03-16T04:05:01,13.2,1263,7919,72.0,7,0,0,0,0
2026-03-16T04:10:01,14.5,1260,7919,70.0,7,0,0,0,0
