timestamp,cpu_percent,mem_used_mb,mem_total_mb,temp_c,disk_percent,gpu_temp,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2026-03-14T00:00:01,15.8,13850,32001,39.0,48,63,79,7630,24576
2026-03-14T00:05:01,17.1,13731,32001,40.0,48,65,62,8874,24576
2026-03-14T00:10:01,9.2,14229,32001,41.0,48,66,100,6314,24576
2026-03-14T00:15:01,16.7,14225,32001,41.0,48,66,98,8966,24576
2026-03-14T00:20:01,9,14543,32001,44.0,48,67,98,6700,24576
2026-03-14T00:25:01,55.4,14220,32001,43.0,48,64,0,4773,24576
2026-03-14T00:30:01,4.8,14226,32001,42.0,48,48,0,4829,24576
2026-03-14T00:35:01,5,14241,32001,41.0,48,63,29,4343,24576
2026-03-14T00:40:01,5.2,21296,32001,41.0,48,62,0,7241,24576
2026-03-14T00:45:01,4.7,14113,32001,43.0,48,72,19,6277,24576
2026-03-14T00:50:01,5,14134,32001,42.0,48,65,47,8683,24576
2026-03-14T00:55:01,11,14175,32001,42.0,48,65,52,8591,24576
2026-03-14T01:00:01,11.2,14176,32001,41.0,48,65,64,8231,24576
2026-03-14T01:05:01,5,14175,32001,43.0,48,61,0,4323,24576
2026-03-14T01:10:01,4.7,14300,32001,42.0,48,54,0,4331,24576
2026-03-14T01:15:01,17.3,16100,32001,41.0,48,64,0,4239,24576
2026-03-14T01:20:01,5,14300,32001,43.0,48,71,100,6439,24576
2026-03-14T01:25:01,17.3,15398,32001,43.0,48,62,0,4327,24576
2026-03-14T01:30:01,4.7,20818,32001,41.0,48,48,0,4707,24576
2026-03-14T01:35:01,4.7,14398,32001,40.0,48,62,0,7207,24576
2026-03-14T01:40:01,12.6,14472,32001,41.0,48,72,99,6275,24576
2026-03-14T01:45:01,10.2,15626,32001,42.0,48,65,43,8309,24576
2026-03-14T01:50:01,8.4,14498,32001,41.0,48,67,99,9217,24576
2026-03-14T01:55:01,5.2,16371,32001,42.0,48,62,0,4447,24576
2026-03-14T02:00:01,4.7,14521,32001,43.0,48,66,96,7745,24576
2026-03-14T02:05:01,10.9,14537,32001,43.0,48,65,93,8901,24576
2026-03-14T02:10:01,5,14626,32001,43.0,48,62,100,4661,24576
2026-03-14T02:15:01,6,14585,32001,44.0,48,70,98,6323,24576
2026-03-14T02:20:01,5,14565,32001,43.0,48,66,46,8245,24576
2026-03-14T02:25:01,4.7,16907,32001,43.0,48,61,0,4357,24576
2026-03-14T02:30:01,6.7,14589,32001,42.0,48,69,43,6277,24576
2026-03-14T02:35:01,4.7,14764,32001,41.0,48,72,100,5859,24576
2026-03-14T02:40:01,4.7,14761,32001,42.0,48,68,100,6061,24576
2026-03-14T02:45:01,5,14610,32001,44.0,48,66,100,7641,24576
2026-03-14T02:50:01,5,14680,32001,41.0,48,61,100,4709,24576
2026-03-14T02:55:01,24.4,14671,32001,43.0,48,66,19,4417,24576
2026-03-14T03:00:01,5.7,14871,32001,41.0,48,61,0,4467,24576
2026-03-14T03:05:01,5,14657,32001,42.0,48,66,60,7417,24576
2026-03-14T03:10:01,12.4,14650,32001,42.0,48,64,74,8911,24576
2026-03-14T03:15:01,4.7,14760,32001,41.0,48,51,0,4457,24576
2026-03-14T03:20:01,16.5,22842,32001,39.0,48,64,99,6591,24576
2026-03-14T03:25:01,17.5,15489,32001,38.0,48,62,0,4499,24576
2026-03-14T03:30:01,5,14851,32001,41.0,48,63,0,4323,24576
