timestamp,cpu_percent,mem_used_mb,mem_total_mb,temp_c,disk_percent,gpu_temp,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2026-03-24T00:00:01,4.7,2145,32001,33.0,47,38,0,110,24576
2026-03-24T00:05:01,0.7,2133,32001,34.0,47,39,0,110,24576
2026-03-24T00:10:01,0.5,2153,32001,34.0,47,38,0,110,24576
2026-03-24T00:15:01,0.5,2166,32001,34.0,47,38,0,110,24576
2026-03-24T00:20:01,0.8,2170,32001,34.0,47,38,0,110,24576
2026-03-24T00:25:01,0.8,2165,32001,34.0,47,40,0,111,24576
2026-03-24T00:30:01,0.5,2179,32001,34.0,47,39,0,111,24576
2026-03-24T00:35:01,0.5,2178,32001,35.0,47,39,0,110,24576
2026-03-24T00:40:01,5,3756,32001,34.0,47,54,29,2794,24576
2026-03-24T00:45:01,5,4677,32001,35.0,47,73,18,8598,24576
2026-03-24T00:50:01,4.7,5810,32001,39.0,47,65,0,8794,24576
2026-03-24T00:55:01,5.2,5500,32001,41.0,47,68,39,8794,24576
2026-03-24T01:00:01,5.2,5496,32001,43.0,47,71,70,4064,24576
2026-03-24T01:05:01,5,5502,32001,44.0,47,69,52,2796,24576
2026-03-24T01:10:01,5.7,5491,32001,44.0,47,71,27,8598,24576
2026-03-24T01:15:01,5,5491,32001,44.0,47,70,15,8598,24576
2026-03-24T01:20:01,4.7,5510,32001,44.0,47,73,68,6058,24576
2026-03-24T01:25:01,5.5,5509,32001,44.0,47,75,64,6058,24576
2026-03-24T01:30:01,5,5516,32001,44.0,47,72,61,3880,24576
2026-03-24T01:35:01,6,5626,32001,44.0,47,71,62,8680,24576
2026-03-24T01:40:01,4.8,5503,32001,44.0,47,65,0,2796,24576
2026-03-24T01:45:01,5.5,5509,32001,44.0,47,71,60,4010,24576
2026-03-24T01:50:01,37.3,8423,32001,43.0,47,72,83,12520,24576
2026-03-24T01:55:01,5,6554,32001,43.0,47,67,100,8766,24576
2026-03-24T02:00:01,5.2,6055,32001,43.0,47,66,34,6838,24576
