timestamp,cpu_percent,mem_used_mb,mem_total_mb,temp_c,disk_percent,gpu_temp,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2026-03-21T00:00:01,7.3,731,8063,49.0,54,0,0,0,0
2026-03-21T00:05:01,2.4,718,8063,49.0,54,0,0,0,0
2026-03-21T00:10:01,100,718,8063,48.5,54,0,0,0,0
2026-03-21T00:15:01,100,727,8063,48.0,54,0,0,0,0
2026-03-21T00:20:01,2.4,721,8063,48.5,54,0,0,0,0
2026-03-21T00:25:01,100,735,8063,48.5,54,0,0,0,0
2026-03-21T00:30:01,2.3,744,8063,49.0,54,0,0,0,0
2026-03-21T00:35:01,100,723,8063,49.0,54,0,0,0,0
2026-03-21T00:40:01,2.3,716,8063,49.0,54,0,0,0,0
2026-03-21T00:45:01,2.4,714,8063,48.5,54,0,0,0,0
2026-03-21T00:50:01,2.3,714,8063,48.0,54,0,0,0,0
2026-03-21T00:55:01,2.4,716,8063,49.0,54,0,0,0,0
2026-03-21T01:00:01,7.3,726,8063,49.0,54,0,0,0,0
2026-03-21T01:05:01,4.7,715,8063,48.5,54,0,0,0,0
2026-03-21T01:10:01,2.4,715,8063,48.5,54,0,0,0,0
2026-03-21T01:15:01,100,725,8063,48.5,54,0,0,0,0
2026-03-21T01:20:01,2.4,720,8063,48.5,54,0,0,0,0
2026-03-21T01:25:01,2.3,738,8063,48.0,54,0,0,0,0
2026-03-21T01:30:01,100,714,8063,49.0,54,0,0,0,0
2026-03-21T01:35:01,2.4,723,8063,49.0,54,0,0,0,0
2026-03-21T01:40:01,2.4,760,8063,46.3,54,0,0,0,0
2026-03-21T01:45:01,2.4,723,8063,47.4,54,0,0,0,0
2026-03-21T01:50:01,2.4,713,8063,48.0,54,0,0,0,0
2026-03-21T01:55:01,2.3,717,8063,49.0,54,0,0,0,0
2026-03-21T02:00:01,5,725,8063,49.0,54,0,0,0,0
2026-03-21T02:05:01,100,714,8063,48.0,54,0,0,0,0
2026-03-21T02:10:01,2.3,720,8063,48.5,54,0,0,0,0
2026-03-21T02:15:01,2.3,720,8063,48.5,54,0,0,0,0
2026-03-21T02:20:01,100,722,8063,48.5,54,0,0,0,0
2026-03-21T02:25:01,100,719,8063,48.5,54,0,0,0,0
2026-03-21T02:30:01,2.3,718,8063,48.5,54,0,0,0,0
2026-03-21T02:35:01,100,717,8063,48.5,54,0,0,0,0
2026-03-21T02:40:01,2.3,715,8063,49.0,54,0,0,0,0
2026-03-21T02:45:01,2.4,721,8063,49.0,54,0,0,0,0
2026-03-21T02:50:01,2.4,712,8063,48.5,54,0,0,0,0
2026-03-21T02:55:01,2.3,717,8063,48.0,54,0,0,0,0
2026-03-21T03:00:01,9.5,718,8063,48.0,54,0,0,0,0
2026-03-21T03:05:01,2.3,728,8063,48.0,54,0,0,0,0
2026-03-21T03:10:01,100,731,8063,48.5,54,0,0,0,0
2026-03-21T03:15:01,100,735,8063,48.0,54,0,0,0,0
2026-03-21T03:20:01,100,722,8063,48.0,54,0,0,0,0
2026-03-21T03:25:01,2.3,735,8063,48.5,54,0,0,0,0
2026-03-21T03:30:01,100,723,8063,48.5,54,0,0,0,0
2026-03-21T03:35:01,100,719,8063,48.5,54,0,0,0,0
2026-03-21T03:40:01,100,721,8063,47.4,54,0,0,0,0
2026-03-21T03:45:01,100,738,8063,48.0,54,0,0,0,0
2026-03-21T03:50:01,2.4,722,8063,48.5,54,0,0,0,0
2026-03-21T03:55:01,2.3,724,8063,46.3,54,0,0,0,0
