timestamp,cpu_percent,mem_used_mb,mem_total_mb,temp_c,disk_percent,gpu_temp,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2026-03-23T00:00:01,9.5,770,8063,46.9,55,0,0,0,0
2026-03-23T00:05:01,100,761,8063,48.0,55,0,0,0,0
2026-03-23T00:10:01,2.3,761,8063,48.0,55,0,0,0,0
2026-03-23T00:15:01,100,764,8063,48.0,55,0,0,0,0
2026-03-23T00:20:01,2.4,765,8063,46.9,55,0,0,0,0
2026-03-23T00:25:02,100,760,8063,46.3,55,0,0,0,0
2026-03-23T00:30:01,100,761,8063,47.4,55,0,0,0,0
2026-03-23T00:35:01,2.3,768,8063,49.0,55,0,0,0,0
2026-03-23T00:40:01,2.4,771,8063,46.9,55,0,0,0,0
2026-03-23T00:45:01,2.4,779,8063,45.8,55,0,0,0,0
2026-03-23T00:50:01,100,762,8063,45.8,55,0,0,0,0
2026-03-23T00:55:01,100,759,8063,47.4,55,0,0,0,0
2026-03-23T01:00:01,11.6,772,8063,49.0,55,0,0,0,0
2026-03-23T01:05:01,2.3,775,8063,46.9,55,0,0,0,0
2026-03-23T01:10:01,100,763,8063,46.3,55,0,0,0,0
2026-03-23T01:15:01,100,764,8063,49.0,55,0,0,0,0
2026-03-23T01:20:01,2.3,763,8063,46.3,55,0,0,0,0
2026-03-23T01:25:01,4.5,764,8063,45.8,55,0,0,0,0
2026-03-23T01:30:01,2.4,765,8063,46.9,55,0,0,0,0
2026-03-23T01:35:01,4.5,761,8063,49.0,55,0,0,0,0
2026-03-23T01:40:01,4.5,767,8063,46.9,55,0,0,0,0
2026-03-23T01:45:01,2.4,763,8063,46.3,55,0,0,0,0
2026-03-23T01:50:01,100,761,8063,45.8,55,0,0,0,0
2026-03-23T01:55:01,100,771,8063,46.3,55,0,0,0,0
2026-03-23T02:00:01,11.6,770,8063,48.5,55,0,0,0,0
2026-03-23T02:05:01,2.4,765,8063,47.4,55,0,0,0,0
2026-03-23T02:10:01,100,761,8063,46.9,55,0,0,0,0
2026-03-23T02:15:01,2.3,777,8063,46.9,55,0,0,0,0
2026-03-23T02:20:01,2.3,760,8063,48.5,55,0,0,0,0
2026-03-23T02:25:01,2.4,766,8063,49.0,55,0,0,0,0
2026-03-23T02:30:01,100,781,8063,46.9,55,0,0,0,0
2026-03-23T02:35:01,2.3,768,8063,46.3,55,0,0,0,0
2026-03-23T02:40:01,100,767,8063,48.0,55,0,0,0,0
2026-03-23T02:45:01,100,762,8063,48.5,55,0,0,0,0
2026-03-23T02:50:01,2.3,767,8063,46.9,55,0,0,0,0
2026-03-23T02:55:01,2.4,758,8063,46.3,55,0,0,0,0
2026-03-23T03:00:01,11.6,767,8063,48.5,55,0,0,0,0
2026-03-23T03:05:01,2.3,776,8063,48.5,55,0,0,0,0
2026-03-23T03:10:01,2.4,768,8063,48.0,55,0,0,0,0
2026-03-23T03:15:01,2.3,761,8063,46.9,55,0,0,0,0
2026-03-23T03:20:01,100,762,8063,48.0,55,0,0,0,0
2026-03-23T03:25:01,100,762,8063,49.0,55,0,0,0,0
2026-03-23T03:30:01,2.3,797,8063,48.0,55,0,0,0,0
2026-03-23T03:35:01,2.3,770,8063,46.9,55,0,0,0,0
2026-03-23T03:40:01,100,761,8063,48.5,55,0,0,0,0
2026-03-23T03:45:01,2.4,761,8063,48.5,55,0,0,0,0
2026-03-23T03:50:01,100,766,8063,49.0,55,0,0,0,0
2026-03-23T03:55:01,2.3,765,8063,48.0,55,0,0,0,0
2026-03-23T04:00:01,9.3,772,8063,47.4,55,0,0,0,0
2026-03-23T04:05:01,4.5,766,8063,47.4,55,0,0,0,0
2026-03-23T04:10:01,2.4,769,8063,47.4,55,0,0,0,0
2026-03-23T04:15:01,100,783,8063,48.5,55,0,0,0,0
2026-03-23T04:20:02,2.3,782,8063,46.9,55,0,0,0,0
2026-03-23T04:25:01,2.3,780,8063,46.9,55,0,0,0,0
2026-03-23T04:30:01,4.7,765,8063,48.5,55,0,0,0,0
2026-03-23T04:35:01,2.4,779,8063,48.0,55,0,0,0,0
2026-03-23T04:40:01,100,766,8063,49.0,55,0,0,0,0
2026-03-23T04:45:01,2.3,777,8063,49.0,55,0,0,0,0
2026-03-23T04:50:01,2.4,765,8063,49.0,55,0,0,0,0
2026-03-23T04:55:01,2.3,763,8063,47.4,55,0,0,0,0
2026-03-23T05:00:01,7.3,770,8063,47.4,55,0,0,0,0
2026-03-23T05:05:01,2.4,763,8063,48.5,55,0,0,0,0
2026-03-23T05:10:01,100,759,8063,49.6,55,0,0,0,0
2026-03-23T05:15:01,100,764,8063,48.5,55,0,0,0,0
2026-03-23T05:20:01,2.4,764,8063,49.0,55,0,0,0,0
2026-03-23T05:25:01,2.3,770,8063,48.5,55,0,0,0,0
2026-03-23T05:30:01,100,767,8063,49.0,55,0,0,0,0
2026-03-23T05:35:01,100,815,8063,48.5,55,0,0,0,0
2026-03-23T05:40:01,2.4,771,8063,49.0,55,0,0,0,0
2026-03-23T05:45:01,2.4,761,8063,46.9,55,0,0,0,0
2026-03-23T05:50:01,2.3,762,8063,47.4,55,0,0,0,0
2026-03-23T05:55:01,2.4,762,8063,48.0,55,0,0,0,0
2026-03-23T06:00:01,7.3,773,8063,49.0,55,0,0,0,0
2026-03-23T06:05:01,2.3,761,8063,48.5,55,0,0,0,0
2026-03-23T06:10:01,100,762,8063,48.5,55,0,0,0,0
2026-03-23T06:15:01,100,761,8063,48.5,55,0,0,0,0
2026-03-23T06:20:01,2.3,763,8063,49.0,55,0,0,0,0
2026-03-23T06:25:01,2.4,760,8063,46.3,55,0,0,0,0
2026-03-23T06:30:01,2.3,763,8063,47.4,55,0,0,0,0
2026-03-23T06:35:01,4.7,776,8063,48.5,55,0,0,0,0
2026-03-23T06:40:01,100,767,8063,48.5,55,0,0,0,0
2026-03-23T06:45:01,2.3,777,8063,48.5,55,0,0,0,0
2026-03-23T06:50:01,2.4,769,8063,46.9,55,0,0,0,0
2026-03-23T06:55:01,100,759,8063,48.0,55,0,0,0,0
2026-03-23T07:00:01,7.5,777,8063,49.0,55,0,0,0,0
2026-03-23T07:05:01,2.4,778,8063,48.5,54,0,0,0,0
